City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
280,Bull Savanna,JM,2022-09-10 14:20:16,17.8868,-77.5902,83.41,68,3,10.07
281,Mudgee,AU,2022-09-10 14:20:16,-32.5943,149.5871,50.61,94,80,9.82
282,Tevaitoa,PF,2022-09-10 14:20:17,-16.7833,-151.5,78.12,73,40,21.81
283,Katsuura,JP,2022-09-10 14:20:18,35.1333,140.3,74.82,85,99,19.44
284,Cayenne,GF,2022-09-10 14:20:18,4.9333,-52.3333,87.84,58,20,10.36
285,Cockburn Town,TC,2022-09-10 14:19:16,21.4612,-71.1419,84.38,75,8,13.82
286,Namibe,AO,2022-09-10 14:20:19,-15.1961,12.1522,71.89,74,31,11.43
287,Puerto Narino,CO,2022-09-10 14:20:19,-3.7703,-70.3831,85.28,63,89,1.99
288,Los Llanos De Aridane,ES,2022-09-10 14:20:20,28.6585,-17.9182,74.95,93,75,8.05
289,Vilhena,BR,2022-09-10 14:20:20,-12.7406,-60.1458,79.02,73,54,3.44
290,Sterling,US,2022-09-10 14:17:22,39.0062,-77.4286,74.55,80,75,3.44
291,Tocache,PE,2022-09-10 14:17:19,-8.1842,-76.5125,78.78,64,63,2.19
292,Avera,US,2022-09-10 14:20:21,33.194,-82.5271,74.55,95,100,7.16
293,Mayma,RU,2022-09-10 14:20:22,52.0197,85.9114,51.55,63,24,2.84
294,Portland,US,2022-09-10 14:20:23,45.5234,-122.6762,77.81,37,40,6.91
