City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
201,Los Llanos De Aridane,ES,71.35,clear sky,28.6585,-17.9182,Valle Aridane
202,Angoche,MZ,72.37,clear sky,-16.2325,39.9086,Guest House HESADA
204,Hamilton,US,84.65,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
206,Bandarbeyla,SO,77.9,overcast clouds,9.4942,50.8122,JABIR HOTEL
207,Mims,US,79.09,mist,28.6653,-80.8448,Intercoastal Estates
208,Lagoa,PT,73.63,overcast clouds,39.05,-27.9833,Casa Das Faias
209,Turbat,PK,81.37,clear sky,26.0023,63.044,Mubashar Quarters
210,Saint-Pierre,RE,69.48,clear sky,-21.3393,55.4781,Alize Plage
212,Tual,ID,81.27,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
213,Lafiagi,NG,75.02,overcast clouds,8.8667,5.4167,Bus group international
217,Ghatampur,IN,77.34,overcast clouds,26.1667,80.1667,OYO 46903 Hotel Sai Palace
220,The Valley,AI,78.1,overcast clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
221,Port Blair,IN,80.4,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
222,Namatanai,PG,82.65,scattered clouds,-3.6667,152.4333,Seagulls Inn Namatani
223,Moranbah,AU,72.64,clear sky,-22.0016,148.0466,Property Vine - Monterey Moranbah
225,Marsa Matruh,EG,73.89,clear sky,31.3525,27.2453,Beau Site
233,Sheridan,US,72.46,clear sky,44.8333,-106.9173,Comfort Inn & Suites
234,Aswan,EG,82.49,clear sky,24.0934,32.907,Nuba Nile
235,Luanda,AO,71.55,scattered clouds,-8.8368,13.2343,EPIC SANA Luanda
236,Lianyuan,CN,76.69,clear sky,27.6883,111.6642,Lianyuan Hotel
239,Bambous Virieux,MU,71.22,light rain,-20.3428,57.7575,Casa Tia Villa
242,Alofi,NU,76.66,few clouds,-19.0595,-169.9187,Taloa Heights
243,Tahta,EG,79.57,clear sky,26.7693,31.5021,فندق الزيات
244,Bihariganj,IN,78.21,light rain,25.7333,86.9833,Chandika Sthan Dharmshala
245,Nara,JP,80.96,overcast clouds,34.6851,135.8049,Guesthouse Nara Komachi
250,Kalmunai,LK,79.25,overcast clouds,7.4167,81.8167,VS Villa
259,Weligama,LK,78.87,overcast clouds,5.9667,80.4167,Weligama Bay Resort
263,Jiangyou,CN,70.84,overcast clouds,31.7667,104.7167,Shangping Shuyuan Inn
264,Luganville,VU,80.33,scattered clouds,-15.5333,167.1667,The Espiritu Hotel
267,Fare,PF,78.12,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
